Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport;88,564;;92,637;;:;;307,349;;347,427;;320,469;;267,460;;295,060;;328,598;;342,885;;86,640;;:;;194,125;;197,310;
AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport;479,016;;579,212;;608,321;;607,513;;739,555;;770,483;;830,389;;887,807;;902,133;;1,013,503;;327,652;;338,552;;702,198;;936,422;
AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport;162,018;;160,172;;100,944;;98,989;;107,094;;96,694;;122,001;;146,851;;84,776;;77,431;;:;;203,159;;:;;:;
AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport;254,260;;282,465;;282,319;;274,853;;290,424;;341,512;;360,651;;400,531;;456,794;;488,150;;283,437;;439,055;;671,781;;617,041;
AMSTERDAM/SCHIPHOL airport - ST. MAARTEN/PRINCESS JULIANA airport;88,517;;92,193;;116,027;;117,278;;123,925;;126,947;;122,955;;97,492;;:;;:;;:;;:;;80,203;;78,779;
AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport;:;;:;;94,021;;89,773;;120,812;;151,684;;99,759;;103,826;;121,483;;101,185;;:;;:;;108,080;;96,102;
AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport;:;;:;;:;;:;;:;;:;;75,938;;88,154;;79,779;;78,529;;:;;:;;78,207;;:;
AMSTERDAM/SCHIPHOL airport - WIEN-SCHWECHAT airport;465,910;;527,228;;504,007;;519,588;;540,860;;573,523;;713,054;;768,752;;821,007;;945,585;;243,461;;308,009;;611,758;;767,573;
AMSTERDAM/SCHIPHOL airport - SYDNEY/SYDNEY (KINGSFORD SMITH) INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
