DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2012,1113836,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2013,1010393,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2014,1000454,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2015,967966,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2016,1024806,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2017,1051394,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2018,1074031,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2019,1153176,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2020,767807,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2021,584015,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,AT,TOTAL,N_GE1,NR,NL,2022,1357259,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2012,1604664,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2013,1554698,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2014,1358391,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2015,1450791,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2016,1293229,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2017,1652892,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2018,1751644,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2019,2091200,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2020,748635,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2021,1315334,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BE,TOTAL,N_GE1,NR,NL,2022,2340634,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2013,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2017,69018,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2018,78490,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2019,79269,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,BG,TOTAL,N_GE1,NR,NL,2022,68380,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2012,253622,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2013,260115,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2014,294839,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2015,222230,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2016,280471,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2017,275299,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2018,252518,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2019,234351,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2020,147071,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2021,251802,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CH,TOTAL,N_GE1,NR,NL,2022,478398,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2013,46904,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2017,45645,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2018,63908,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2019,47499,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2021,30021,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CY,TOTAL,N_GE1,NR,NL,2022,43152,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2012,152549,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2013,227532,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2014,153492,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2015,182405,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2016,218180,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2017,209525,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2018,235513,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2019,291255,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2020,66968,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2021,69661,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,CZ,TOTAL,N_GE1,NR,NL,2022,282784,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2012,3369044,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2013,3094892,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2014,3368552,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2015,3291408,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2016,3501207,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2017,3831289,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2018,3633607,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2019,3826634,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2020,1803528,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2021,1977364,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DE,TOTAL,N_GE1,NR,NL,2022,3566449,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2012,172906,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2013,195241,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2014,138575,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2015,150540,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2016,214245,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2017,207515,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2018,245027,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2019,243779,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2020,74339,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2021,167590,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,DK,TOTAL,N_GE1,NR,NL,2022,327702,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2013,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2017,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2018,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2019,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EE,TOTAL,N_GE1,NR,NL,2022,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2012,625788,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2013,542730,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2014,677161,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2015,625227,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2016,525722,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2017,729056,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2018,737930,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2019,856995,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2020,171668,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2021,649297,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,EL,TOTAL,N_GE1,NR,NL,2022,834280,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2012,1713508,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2013,1768104,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2014,1827391,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2015,1841291,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2016,2163807,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2017,2468237,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2018,2393438,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2019,2260389,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2020,563720,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2021,1173075,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,ES,TOTAL,N_GE1,NR,NL,2022,2460252,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2013,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2017,36175,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2018,43293,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2019,77764,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2020,31041,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FI,TOTAL,N_GE1,NR,NL,2022,74949,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FR,TOTAL,N_GE1,NR,NL,2012,2182762,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FR,TOTAL,N_GE1,NR,NL,2013,2265138,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FR,TOTAL,N_GE1,NR,NL,2014,2137023,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,FR,TOTAL,N_GE1,NR,NL,2015,2159056,
