DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2012,111291,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2013,152972,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2014,137987,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2015,148699,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2016,167951,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2017,140585,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2018,221582,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2019,197436,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2020,52493,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2021,70759,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,AT,2022,127586,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2012,874786,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2013,843064,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2014,1016920,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2015,974047,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2016,1545383,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2017,1363280,b
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2018,1288734,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2019,1606449,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2020,641656,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2021,696757,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BE,2022,1405839,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2017,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2018,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2019,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,BG,2022,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2012,181744,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2013,191532,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2014,212253,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2015,244033,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2016,195637,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2017,354807,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2018,386905,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2019,218537,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CH,2022,220368,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2012,9403,bu
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2013,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2017,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2018,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2019,46762,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CY,2022,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2012,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2013,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2014,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2015,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2016,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2017,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2018,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2019,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2020,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2021,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,CZ,2022,,u
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2012,4063774,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2013,5294242,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2014,4853948,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2015,4839178,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2016,6763021,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2017,5672860,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2018,7413347,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2019,7090968,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2020,4081705,
ESTAT:TIN00190(1.0),01/02/24 23:00:00,A,NL,TOTAL,N_GE1,NR,DE,2021,3459498,
