TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - ABU DHABI INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;41,896;68,399;65,684;68,110;72,845;76,582;85,166;48,080;53,133
AMSTERDAM/SCHIPHOL airport - DUBAI INTERNATIONAL airport;41,187;52,797;36,903;43,837;49,813;54,574;72,053;70,942;75,608;67,111;98,490;127,552;127,586;133,519;157,019;184,094;191,722;203,266;215,282;238,696;227,580;224,942
AMSTERDAM/SCHIPHOL airport - BONAIRE/FLAMINGO airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;18,285;21,521;24,739;30,713;32,295;46,830;44,039
AMSTERDAM/SCHIPHOL airport - CURACAO/AEROPUERTO HATO airport;40,881;63,788;64,065;69,176;66,012;64,236;67,004;68,597;80,428;95,598;88,736;97,048;92,565;94,091;98,974;105,481;105,752;110,743;120,485;134,435;141,990;167,798
AMSTERDAM/SCHIPHOL airport - ST. MAARTEN/PRINCESS JULIANA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport;:;:;:;:;:;:;:;:;:;:;:;:;23,103;19,513;19,472;29,021;28,710;41,362;45,103;34,860;35,348;31,442
AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,361;12,584;8,043;8,476;:;:
AMSTERDAM/SCHIPHOL airport - WIEN-SCHWECHAT airport;119,806;109,399;107,632;101,061;115,528;114,132;118,000;144,890;151,666;132,061;119,550;144,006;138,753;147,421;151,344;155,394;195,327;212,744;231,638;269,019;218,074;220,958
AMSTERDAM/SCHIPHOL airport - SYDNEY/SYDNEY (KINGSFORD SMITH) INTL airport;22,460;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - ORANJESTAD/BEATRIX airport;24,973;24,328;26,185;25,815;28,813;31,857;32,402;29,619;30,014;24,891;27,904;29,795;28,611;27,566;26,973;27,762;29,565;34,200;37,852;37,452;29,977;:
AMSTERDAM/SCHIPHOL airport - BRUSSELS airport;96,221;80,880;61,193;48,888;59,393;55,376;51,419;52,790;54,447;49,045;47,360;47,181;50,224;51,622;55,808;60,463;42,021;69,259;73,169;74,544;46,814;46,675
AMSTERDAM/SCHIPHOL airport - BURGAS airport;:;:;:;:;:;:;:;:;:;:;:;9,602;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - SOFIA airport;:;:;:;:;:;:;:;:;:;:;:;:;21,167;23,327;26,539;26,694;27,115;32,016;36,581;36,181;25,269;:
AMSTERDAM/SCHIPHOL airport - BAHRAIN INTERNATIONAL airport;:;:;:;:;:;:;18,119;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - FORTALEZA/ PINTO MARTINS, CE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;21,736;:;:
AMSTERDAM/SCHIPHOL airport - RIO DE JANEIRO/GALEAO-ANTONIO CARLOS JOBIM, RJ airport;:;:;:;:;:;:;:;:;:;:;:;:;19,781;33,286;37,135;38,556;34,556;43,955;51,023;49,111;42,517;44,591
AMSTERDAM/SCHIPHOL airport - SAO PAULO/GUARULHOS, GOVERNADOR ANDRE FRANCO MONTORO, SP airport;:;32,760;27,642;29,242;39,697;43,680;49,513;48,261;50,529;39,875;47,317;55,388;58,320;64,159;64,274;62,503;57,167;62,142;66,522;63,585;68,715;60,995
AMSTERDAM/SCHIPHOL airport - MINSK-2 airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - EDMONTON INTL, AB airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;20,953;24,913;25,264;25,609;22,923;:
AMSTERDAM/SCHIPHOL airport - MONTREAL INTL (MIRABEL), QC airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport;51,227;71,369;58,215;42,823;47,698;45,797;48,710;49,558;49,255;48,153;45,770;47,899;49,066;49,180;49,318;49,837;49,013;46,139;44,038;46,342;43,451;86,649
AMSTERDAM/SCHIPHOL airport - VANCOUVER INTL, BC airport;57,744;53,607;43,965;41,182;53,587;52,382;58,104;60,194;63,198;53,904;48,914;57,351;63,766;61,592;55,026;57,386;58,942;57,998;65,119;70,119;65,677;56,340
AMSTERDAM/SCHIPHOL airport - CALGARY INTL, AB airport;:;:;:;:;:;:;:;:;:;:;27,603;30,980;39,857;47,164;47,670;50,777;48,445;53,179;54,665;53,272;53,037;53,554
AMSTERDAM/SCHIPHOL airport - TORONTO/LESTER B. PEARSON INTL, ON airport;103,357;103,574;100,524;78,574;101,566;100,742;105,809;117,934;131,333;101,179;93,020;106,363;112,449;107,864;100,334;104,253;140,953;162,375;181,915;157,579;148,627;144,907
AMSTERDAM/SCHIPHOL airport - BALE-MULHOUSE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;107,806;118,267;118,897;123,671;124,089;105,985;109,620
AMSTERDAM/SCHIPHOL airport - GENEVA airport;115,054;115,481;119,491;111,845;122,056;123,353;133,246;135,900;146,392;134,997;124,747;153,610;163,874;168,681;170,332;171,247;167,936;172,735;176,154;180,887;146,661;159,380
AMSTERDAM/SCHIPHOL airport - ZURICH airport;168,317;152,477;140,563;124,133;135,816;141,114;157,702;162,534;179,305;158,555;148,959;173,537;177,047;187,130;188,221;202,165;211,481;244,386;266,651;263,234;201,294;212,104
AMSTERDAM/SCHIPHOL airport - SANTIAGO/AP ARTURO MERINO BENITEZ airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - BEIJING/CAPITAL airport;25,465;27,914;32,509;10,591;48,287;62,303;59,778;73,824;64,586;62,716;69,660;63,952;64,022;83,888;76,246;89,611;87,599;92,288;90,335;92,347;40,296;40,544
AMSTERDAM/SCHIPHOL airport - BEIJING/DAXING INTERNATIONAL airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;39,568
AMSTERDAM/SCHIPHOL airport - GUANGZHOU/BAIYUN airport;:;:;:;:;:;:;:;:;:;:;:;19,080;35,148;33,551;33,282;35,414;36,512;35,367;45,744;46,516;25,237;40,167
AMSTERDAM/SCHIPHOL airport - XIAMEN/GAOQI airport;:;:;:;:;:;:;:;:;:;:;:;:;19,954;:;:;21,287;29,854;34,809;38,534;36,484;20,838;22,758
AMSTERDAM/SCHIPHOL airport - HANGZHOU/XIAOSHAN airport;:;:;:;:;:;:;:;:;:;:;:;20,867;22,187;20,609;:;22,248;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - SHANGHAI/PUDONG airport;:;:;:;:;36,504;45,249;45,379;62,514;70,617;71,631;71,803;82,857;86,007;84,041;83,418;82,576;91,087;107,038;113,016;120,441;65,846;78,615
AMSTERDAM/SCHIPHOL airport - SHANGHAI/HONGQIAO airport;:;:;:;15,609;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - CHENGDU/SHUANGLIU airport;:;:;:;:;:;:;:;:;:;:;:;20,607;21,487;21,969;22,237;22,590;19,598;27,985;28,297;27,356;:;:
AMSTERDAM/SCHIPHOL airport - BOGOTA INTL/CUNDINAMARCA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;19,503;30,181;:
AMSTERDAM/SCHIPHOL airport - ALAJUELA/JUAN SANTAMARIA INTL. airport;:;:;:;17,740;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HABANA/JOSE MARTI INTL. airport;:;:;:;:;:;:;:;:;:;:;:;:;:;17,961;17,911;18,426;29,196;46,033;32,041;19,176;:;:
AMSTERDAM/SCHIPHOL airport - AMILCAR CABRAL/SAL ISLAND airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;14,563;:;:;:;:
AMSTERDAM/SCHIPHOL airport - LARNAKA/INTL airport;31,588;31,928;29,248;23,814;27,569;28,347;22,924;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - PRAHA/RUZYNE airport;77,769;81,226;88,957;87,417;94,419;93,676;108,791;109,228;129,119;112,199;95,453;127,237;102,420;120,643;124,793;138,121;162,304;179,311;188,947;207,066;150,272;175,199
AMSTERDAM/SCHIPHOL airport - BERLIN-BRANDENBURG airport;:;:;:;:;:;:;:;:;:;:;:;40,801;48,473;56,617;58,391;66,210;86,253;84,937;84,812;88,291;230,160;220,464
AMSTERDAM/SCHIPHOL airport - FRANKFURT/MAIN airport;162,804;163,175;151,212;138,665;145,663;139,530;157,674;153,590;159,024;154,949;143,158;189,281;195,050;188,554;207,210;233,819;220,802;225,002;234,283;243,352;170,204;167,594
AMSTERDAM/SCHIPHOL airport - MUENSTER/OSNABRUECK airport;20,483;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - HAMBURG airport;58,110;59,852;61,960;52,542;62,143;63,601;66,471;70,779;74,797;70,368;74,459;91,727;100,626;99,026;100,770;121,863;132,107;116,229;121,783;123,979;88,728;87,343
AMSTERDAM/SCHIPHOL airport - KOELN/BONN airport;24,028;21,463;21,579;:;:;:;:;:;20,207;:;21,572;25,791;23,642;24,041;25,941;23,641;:;:;:;:;:;:
AMSTERDAM/SCHIPHOL airport - DUESSELDORF airport;47,506;36,278;34,746;26,566;34,156;37,185;35,565;36,527;39,751;39,503;39,915;45,859;45,698;40,759;47,587;52,381;57,232;59,043;62,327;64,073;54,752;60,320
AMSTERDAM/SCHIPHOL airport - MUENCHEN airport;109,141;119,971;100,357;93,609;110,101;114,353;130,606;141,609;160,465;155,285;143,794;182,801;177,185;184,463;188,021;209,803;214,466;261,198;259,509;261,683;183,240;209,480
AMSTERDAM/SCHIPHOL airport - NUERNBERG airport;27,436;32,167;24,515;20,810;27,627;30,261;35,959;32,121;37,968;34,227;36,168;39,149;41,284;43,241;43,784;51,259;51,669;51,614;51,539;54,771;46,368;53,036
AMSTERDAM/SCHIPHOL airport - STUTTGART airport;48,798;47,028;44,819;35,626;42,669;47,091;55,053;52,561;53,519;43,606;41,489;49,214;54,625;58,224;63,651;82,733;85,811;86,090;90,991;89,720;70,624;69,716
