Flight Route,2024 Q2 Total Passengers,Latitude,Longitude,Land Code,Distance to Netherlands (km)
Airp_Pr (Labels),,,,,
Abu Dhabi International Airport,53133.0,24.43189915,54.641976680103,AE,5150.168866325857
Dubai International Airport,224942.0,25.2521287,55.365715576690505,AE,5128.537550073089
Bonaire/Flamingo Airport,44039.0,12.1310269,-68.2649182072493,NL,7836.943565182141
Curacao/Aeropuerto Hato Airport,167798.0,12.18905265,-68.96216218491656,NL,7879.480192388335
St. Maarten/Princess Juliana Airport,,18.04087385,-63.11185168371077,NL,6980.201826977717
Ezeiza Ministro Pistarini (Ba) Airport,31442.0,,,,
Innsbruck Airport,,47.2597258,11.34187056809152,AT,693.0647297231467
Wien-Schwechat Airport,220958.0,48.10499675,16.5848987032657,AT,917.2806098337218
Sydney/Sydney (Kingsford Smith) Intl Airport,,-33.9498935,151.18196819346016,AU,16621.971838671558
Oranjestad/Beatrix Airport,,12.50213495,-70.01412635032392,NL,7924.323594985662
Brussels Airport,46675.0,50.89833605,4.483258681429076,BE,153.36868048222175
Burgas Airport,,42.57022095,27.516987282032524,BG,1970.1776851774405
Sofia Airport,,42.6955647,23.41420825648208,BG,1711.333434417155
Bahrain International Airport,,26.26967345,50.63283725539348,BH,4734.252925945333
"Fortaleza/ Pinto Martins, Ce Airport",,,,,
"Rio De Janeiro/Galeao-Antonio Carlos Jobim, Rj Airport",44591.0,,,,
"Sao Paulo/Guarulhos, Governador Andre Franco Montoro, Sp Airport",60995.0,-23.4230163,-46.4848869,BR,9769.850259829613
Minsk-2 Airport,,53.88991425,28.035024334224303,BY,1525.210518067351
"Edmonton Intl, Ab Airport",,53.3069479,-113.58439316601246,CA,7015.986907423904
"Montreal Intl (Mirabel), Qc Airport",,,,,
"Montreal/Pierre Elliot Trudeau Intl, Qc Airport",86649.0,,,,5560.0
"Vancouver Intl, Bc Airport",56340.0,,,,
"Calgary Intl, Ab Airport",53554.0,51.1222604,-114.01354103011823,CA,7228.567519221736
"Toronto/Lester B. Pearson Intl, On Airport",144907.0,,,,6000.0
Bale-Mulhouse Airport,109620.0,47.60323695,7.52434812773247,FR,529.108508749696
Geneva Airport,159380.0,46.23781635,6.108121245519259,CH,660.2735783650409
Zurich Airport,212104.0,47.463388050000006,8.553366081422642,CH,569.3746551055193
Santiago/Ap Arturo Merino Benitez Airport,,,,,
Beijing/Capital Airport,40544.0,40.0469407,116.5856596,CN,7830.19530022838
Beijing/Daxing International Airport,39568.0,39.49734235,116.41231485294932,CN,7869.636042675545
Guangzhou/Baiyun Airport,40167.0,23.3880315,113.2979097,CN,9126.879145125287
Xiamen/Gaoqi Airport,22758.0,24.543206,118.1488843,CN,9309.124236016763
Hangzhou/Xiaoshan Airport,,30.2368729,120.42912444938366,CN,8917.299643364295
Shanghai/Pudong Airport,78615.0,31.1427359,121.80411312160436,CN,8908.164971819644
Shanghai/Hongqiao Airport,,31.19767765,121.33448312534463,CN,8878.061015581194
Chengdu/Shuangliu Airport,,30.55477785,103.94790750572534,CN,7930.633216218512
Bogota Intl/Cundinamarca Airport,,,,,
