Flight Route,Latitude,Longitude,Land Code
Airp_Pr (Labels),,,
Abu Dhabi International Airport,24.43189915,54.641976680103,AE
Dubai International Airport,25.2521287,55.365715576690505,AE
Bonaire/Flamingo Airport,12.1310269,-68.2649182072493,NL
Curacao/Aeropuerto Hato Airport,12.18905265,-68.96216218491656,NL
St. Maarten/Princess Juliana Airport,18.04087385,-63.11185168371077,NL
Ezeiza Ministro Pistarini (Ba) Airport,,,
Innsbruck Airport,47.2597258,11.34187056809152,AT
Wien-Schwechat Airport,48.10499675,16.5848987032657,AT
Sydney/Sydney (Kingsford Smith) Intl Airport,-33.9498935,151.18196819346016,AU
Oranjestad/Beatrix Airport,12.50213495,-70.01412635032392,NL
Brussels Airport,50.89833605,4.483258681429076,BE
Burgas Airport,42.57022095,27.516987282032524,BG
Sofia Airport,42.6955647,23.41420825648208,BG
Bahrain International Airport,26.26967345,50.63283725539348,BH
"Fortaleza/ Pinto Martins, Ce Airport",,,
"Rio De Janeiro/Galeao-Antonio Carlos Jobim, Rj Airport",,,
"Sao Paulo/Guarulhos, Governador Andre Franco Montoro, Sp Airport",-23.4230163,-46.4848869,BR
Minsk-2 Airport,53.889914250000004,28.035024334224303,BY
"Edmonton Intl, Ab Airport",53.3069479,-113.58439316601246,CA
"Montreal Intl (Mirabel), Qc Airport",,,
"Montreal/Pierre Elliot Trudeau Intl, Qc Airport",,,
"Vancouver Intl, Bc Airport",,,
"Calgary Intl, Ab Airport",51.1222604,-114.01354103011823,CA
"Toronto/Lester B. Pearson Intl, On Airport",,,
Bale-Mulhouse Airport,47.603236949999996,7.52434812773247,FR
Geneva Airport,46.23781635,6.108121245519259,CH
Zurich Airport,47.463388050000006,8.553366081422642,CH
Santiago/Ap Arturo Merino Benitez Airport,,,
Beijing/Capital Airport,40.0469407,116.5856596,CN
Beijing/Daxing International Airport,39.49734235,116.41231485294932,CN
Guangzhou/Baiyun Airport,23.3880315,113.2979097,CN
Xiamen/Gaoqi Airport,24.543206,118.1488843,CN
Hangzhou/Xiaoshan Airport,30.2368729,120.42912444938366,CN
Shanghai/Pudong Airport,31.142735899999998,121.80411312160436,CN
Shanghai/Hongqiao Airport,31.19767765,121.33448312534463,CN
Chengdu/Shuangliu Airport,30.55477785,103.94790750572534,CN
Bogota Intl/Cundinamarca Airport,,,
Alajuela/Juan Santamaria Intl. Airport,9.993411550000001,-84.21152052685673,CR
Habana/Jose Marti Intl. Airport,22.987384849999998,-82.4142531122872,CU
Amilcar Cabral/Sal Island Airport,,,
Larnaka/Intl Airport,34.87035305,33.61853258381693,CY
Praha/Ruzyne Airport,50.1163117,14.2829383,CZ
Berlin-Brandenburg Airport,52.366493500000004,13.488038876885103,DE
Frankfurt/Main Airport,50.02441255,8.555200257325986,DE
Muenster/Osnabrueck Airport,52.13421785,7.682921428334394,DE
Hamburg Airport,53.63636215,9.994550134684175,DE
Koeln/Bonn Airport,50.86778175,7.138960985502128,DE
Duesseldorf Airport,51.287230449999996,6.762062530647745,DE
Muenchen Airport,48.3550655,11.7863798,DE
Nuernberg Airport,49.49826845,11.078106331160273,DE
Stuttgart Airport,48.68842195,9.205392504886913,DE
Berlin-Tegel Airport,,,
Hannover Airport,52.46144075,9.687236575826585,DE
Bremen Airport,53.0453419,8.789641688895548,DE
Paderborn/Lippstadt Airport,51.614599299999995,8.619063961655392,DE
Hannover Uir Airport,,,
Billund Airport,55.740736999999996,9.160391884322324,DK
Kobenhavn/Kastrup Airport,,,
Aalborg Airport,57.0864352,9.86798193876288,DK
Punta Cana Intl. Airport,18.5697918,-68.36662616922789,DO
Guayaquil Airport,,,
Quito/Mariscal Sucre Intl Airport,-0.12742195,-78.35663771961843,EC
Quito Airport,-0.1639488,-78.34444455683592,EC
Lennart Meri Tallinn Airport,59.414383,24.836851114234037,EE
Cairo/Intl Airport,30.1140504,31.424546074834208,EG
Hurghada / Intl Airport,27.179995050000002,33.788401300000004,EG
Marsa Alam / Intl Airport,25.5567175,34.586232910619,EG
Sharm El Sheikh / Intl Airport,27.97949105,34.39463052661297,EG
"Athinai (App,Met) Airport",,,
Athinai/Eleftherios Venizelos Airport,,,
Iraklion/Nikos Kazantzakis Airport,35.337058,25.18097200362064,GR
Kos/Ippokratis Airport,,,
Kerkira/Ioannis Kapodistrias Airport,39.60190105,19.914036339149046,GR
Preveza/Aktion Airport,,,
Rodos/Diagoras Airport,36.4050007,28.087406950000002,GR
Thessaloniki/Makedonia Airport,40.51980185,22.974086812428308,GR
Zakinthos/Dionisios Solomos Airport,,,
Fuerteventura Airport,28.447124199999998,-13.866147581598085,ES
Gran Canaria Airport,27.930162,-15.388012952705228,ES
Lanzarote Airport,28.94568045,-13.60758816051166,ES
Tenerife Sur/Reina Sofia Airport,28.04614105,-16.57200777057564,ES
Alicante Airport,38.284417700000006,-0.5657529081106044,ES
Bilbao Airport,43.30173845,-2.919143045291415,ES
Barcelona/El Prat Airport,41.29694395,2.0790473629813215,ES
Girona Airport,41.904494650000004,2.762426044162633,ES
Ibiza Airport,38.87294785,1.370372414235323,ES
Adolfo Suarez Madrid-Barajas Airport,40.4952269,-3.573373302702902,ES
Malaga/Costa Del Sol Airport,36.67854455,-4.499675681372699,ES
Palma De Mallorca Airport,39.553224549999996,2.729030991511172,ES
Palma/Son San Juan (Mil) Airport,,,
Valencia Airport,39.4878647,-0.48120918609833196,ES
Sevilla Airport,37.41770265,-5.894928748748175,ES
