"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal luchthavens van nationaal belang";"1999 2e kwartaal";"130681";"56451";"9740866";"8443826";"1297040";"9740866";"6655437";"3056661"
"Totaal luchthavens van nationaal belang";"2000 2e kwartaal";"138677";"50191";"10694822";"9189264";"1505558";"10694822";"7384422";"3310392"
"Totaal luchthavens van nationaal belang";"2001 2e kwartaal";"135384";"44012";"11081237";"9555864";"1525373";"11081237";"7703896";"3377315"
"Totaal luchthavens van nationaal belang";"2002 2e kwartaal";"130088";"39714";"11089367";"9587444";"1501923";"11089367";"7949253";"3140098"
"Totaal luchthavens van nationaal belang";"2003 2e kwartaal";"121892";"31735";"10356517";"9042033";"1314484";"10356517";"7601074";"2755443"
"Totaal luchthavens van nationaal belang";"2004 2e kwartaal";"128195";"23867";"11743346";"10273006";"1470340";"11743346";"8396124";"3347222"
"Totaal luchthavens van nationaal belang";"2005 2e kwartaal";"130684";"21495";"12260292";"10852626";"1407666";"12260292";"8691165";"3569127"
"Totaal luchthavens van nationaal belang";"2006 2e kwartaal";"135627";"22434";"12950392";"11490406";"1459986";"12950392";"9252776";"3697578"
"Totaal luchthavens van nationaal belang";"2007 2e kwartaal";"139089";"24474";"13217968";"11934027";"1283941";"13217968";"9466443";"3751524"
"Totaal luchthavens van nationaal belang";"2008 2e kwartaal";"140649";"29581";"13574493";"12246021";"1328472";"13574493";"9592007";"3982486"
"Totaal luchthavens van nationaal belang";"2009 2e kwartaal";"125960";"29450";"12192401";"11148822";"1043579";"12192401";"8585407";"3606994"
"Totaal luchthavens van nationaal belang";"2010 2e kwartaal";"120119";"34285";"12102893";"10919866";"1183027";"12102893";"8399529";"3703364"
"Totaal luchthavens van nationaal belang";"2011 2e kwartaal";"135315";"25463";"14322977";"13171667";"1151310";"14322977";"10346122";"3976828"
"Totaal luchthavens van nationaal belang";"2012 2e kwartaal";"134474";"19407";"14674866";"13495892";"1178974";"14674866";"10586457";"4088405"
"Totaal luchthavens van nationaal belang";"2013 2e kwartaal";"137162";"15655";"15624792";"14416799";"1207993";"15624792";"11283709";"4341083"
"Totaal luchthavens van nationaal belang";"2014 2e kwartaal";"140067";"16579";"16336535";"15158598";"1177937";"16336535";"11977582";"4358953"
"Totaal luchthavens van nationaal belang";"2015 2e kwartaal";"144689";"15094";"17354312";"16248098";"1106214";"17354312";"12874389";"4479920"
"Totaal luchthavens van nationaal belang";"2016 2e kwartaal";"150648";"15827";"18448754";"17688008";"760746";"18448754";"13827765";"4620989"
"Totaal luchthavens van nationaal belang";"2017 2e kwartaal";"158002";"16617";"20418222";"19551673";"866549";"20418222";"15292279";"5125927"
"Totaal luchthavens van nationaal belang";"2018 2e kwartaal";"159132";"15452";"21226168";"20388447";"837721";"21226168";"15772540";"5453610"
"Totaal luchthavens van nationaal belang";"2019 2e kwartaal";"161074";"14472";"21794353";"21530472";"263881";"21794353";"16250602";"5543740"
"Totaal luchthavens van nationaal belang";"2020 2e kwartaal";"27179";"12805";"880416";"862656";"17760";"880416";"612635";"267777"
"Totaal luchthavens van nationaal belang";"2021 2e kwartaal";"63740";"26902";"3857879";"3835811";"22068";"3857879";"2848270";"1009607"
"Totaal luchthavens van nationaal belang";"2022 2e kwartaal";"141723";"24331";"17349537";"16993984";"355553";"17349537";"13347966";"4001569"
"Totaal luchthavens van nationaal belang";"2023 2e kwartaal*";"144810";"24638";"18967094";"18684428";"282666";"18967094";"14088723";"4878369"
"Totaal luchthavens van nationaal belang";"2024 2e kwartaal*";"151560";"25072";"20088781";"19814909";"273872";"20088781";"15166500";"4922272"
"Amsterdam Airport Schiphol";"1999 2e kwartaal";"102997";"2418";"9392171";"8204009";"1188162";"9392171";"6338008";"3054163"
"Amsterdam Airport Schiphol";"2000 2e kwartaal";"109668";"1062";"10266231";"8942739";"1323492";"10266231";"6957792";"3308439"
"Amsterdam Airport Schiphol";"2001 2e kwartaal";"110981";"1000";"10655612";"9310701";"1344911";"10655612";"7279629";"3375983"
"Amsterdam Airport Schiphol";"2002 2e kwartaal";"106754";"985";"10670023";"9369316";"1300707";"10670023";"7533284";"3136739"
"Amsterdam Airport Schiphol";"2003 2e kwartaal";"102132";"1013";"9951282";"8821235";"1130047";"9951282";"7196063";"2755219"
"Amsterdam Airport Schiphol";"2004 2e kwartaal";"106659";"1085";"11120317";"9896355";"1223962";"11120317";"7773115";"3347202"
"Amsterdam Airport Schiphol";"2005 2e kwartaal";"109311";"887";"11548834";"10376975";"1171859";"11548834";"7980396";"3568438"
"Amsterdam Airport Schiphol";"2006 2e kwartaal";"114095";"969";"12213418";"10981238";"1232180";"12213418";"8516597";"3696821"
"Amsterdam Airport Schiphol";"2007 2e kwartaal";"117369";"1237";"12448206";"11346166";"1102040";"12448206";"8696683";"3751523"
