"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Vluchten|Alle vluchten|Totaal alle vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Totaal aangekomen vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Totaal vertrokken vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|EU-landen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Overig Europa";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Noord-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|West-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Centraal-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Oost-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Zuid-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Noord-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Midden-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Zuid-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|West-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Zuidoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Noordoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Oceanië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Overig/onbekend intercontinentaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Onbekend"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal luchthavens van nationaal belang";"2000 2e kwartaal";"138677";"50191";"120736";"107812";"12924";"60386";"53895";"6491";"60350";"53917";"6433";"10694822";"9189264";"1505558";"5302700";"4597240";"705460";"5392122";"4592024";"800098";"10694822";"7384422";"6090192";"1294230";"3310392";"367133";"164516";"71058";"0";"72655";"58904";"1854402";"1524542";"172210";"157650";"1066397";"363050";"347533";"355814";"22460";"0";"8"
"Totaal luchthavens van nationaal belang";"2001 2e kwartaal";"135384";"44012";"118759";"106216";"12543";"59367";"53093";"6274";"59392";"53123";"6269";"11081237";"9555864";"1525373";"5492512";"4784970";"707542";"5588725";"4770894";"817831";"11081237";"7703896";"6262967";"1440929";"3377315";"397170";"162754";"78750";"0";"91620";"64046";"1877689";"1503632";"192642";"181415";"1102456";"365157";"383192";"354107";"0";"0";"26"
"Totaal luchthavens van nationaal belang";"2002 2e kwartaal";"130088";"39714";"114094";"101986";"12108";"57037";"50987";"6050";"57057";"50999";"6058";"11089367";"9587444";"1501923";"5482174";"4787913";"694261";"5607193";"4799531";"807662";"11089367";"7949253";"6360742";"1588511";"3140098";"405477";"139404";"96939";"77";"89502";"79555";"1679019";"1303513";"207374";"168132";"1055602";"333044";"363488";"359070";"0";"0";"16"
"Totaal luchthavens van nationaal belang";"2003 2e kwartaal";"121892";"31735";"107955";"95957";"11998";"53974";"47959";"6015";"53981";"47998";"5983";"10356517";"9042033";"1314484";"5101808";"4501405";"600403";"5254709";"4540628";"714081";"10356517";"7601074";"6107494";"1493580";"2755443";"368360";"117432";"86758";"0";"85766";"78404";"1597863";"1184564";"240947";"172352";"789220";"261146";"314308";"213766";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2004 2e kwartaal";"128195";"23867";"113607";"100530";"13077";"56785";"50256";"6529";"56822";"50274";"6548";"11743346";"10273006";"1470340";"5825090";"5126531";"698559";"5918256";"5146475";"771781";"11743346";"8396124";"6508469";"1887655";"3347222";"423571";"153440";"93487";"8486";"92945";"75213";"1819961";"1384477";"259284";"176200";"1103690";"352397";"362877";"388416";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2005 2e kwartaal";"130684";"21495";"116330";"103663";"12667";"58156";"51819";"6337";"58174";"51844";"6330";"12260292";"10852626";"1407666";"6063100";"5403146";"659954";"6197192";"5449480";"747712";"12260292";"8691165";"7037131";"1654034";"3569127";"506010";"195382";"110800";"2538";"113360";"83930";"1904842";"1473023";"257756";"174063";"1158275";"316564";"402699";"439012";"0";"0";"0"
"Totaal luchthavens van nationaal belang";"2006 2e kwartaal";"135627";"22434";"122254";"108674";"13580";"61125";"54327";"6798";"61129";"54347";"6782";"12950392";"11490406";"1459986";"6423584";"5734736";"688848";"6526808";"5755670";"771138";"12950392";"9252776";"7788074";"1464702";"3697578";"535999";"210978";"108288";"0";"137896";"78837";"1909555";"1464674";"264485";"180396";"1252024";"331149";"465842";"455033";"0";"0";"38"
"Totaal luchthavens van nationaal belang";"2007 2e kwartaal";"139089";"24474";"125239";"113098";"12141";"62548";"56462";"6086";"62691";"56636";"6055";"13217968";"11934027";"1283941";"6563841";"5957409";"606432";"6654127";"5976618";"677509";"13217968";"9466443";"8053421";"1413022";"3751524";"546449";"226208";"100098";"0";"139519";"80624";"1949425";"1488221";"259627";"201577";"1255650";"311365";"456264";"488021";"0";"0";"1"
"Totaal luchthavens van nationaal belang";"2008 2e kwartaal";"140649";"29581";"126202";"113889";"12313";"63091";"56913";"6178";"63111";"56976";"6135";"13574493";"12246021";"1328472";"6715727";"6094680";"621047";"6858766";"6151341";"707425";"13574493";"9592007";"8063501";"1528506";"3982486";"590865";"261695";"112731";"2";"129822";"86615";"2094850";"1603573";"280582";"210695";"1296771";"327617";"484447";"484707";"0";"0";"0"
