"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal"
"Totaal luchthavens van nationaal belang";"2000 2e kwartaal";"138677";"7384422";"3310392"
"Totaal luchthavens van nationaal belang";"2001 2e kwartaal";"135384";"7703896";"3377315"
"Totaal luchthavens van nationaal belang";"2002 2e kwartaal";"130088";"7949253";"3140098"
"Totaal luchthavens van nationaal belang";"2003 2e kwartaal";"121892";"7601074";"2755443"
"Totaal luchthavens van nationaal belang";"2004 2e kwartaal";"128195";"8396124";"3347222"
"Totaal luchthavens van nationaal belang";"2005 2e kwartaal";"130684";"8691165";"3569127"
"Totaal luchthavens van nationaal belang";"2006 2e kwartaal";"135627";"9252776";"3697578"
"Totaal luchthavens van nationaal belang";"2007 2e kwartaal";"139089";"9466443";"3751524"
"Totaal luchthavens van nationaal belang";"2008 2e kwartaal";"140649";"9592007";"3982486"
"Totaal luchthavens van nationaal belang";"2009 2e kwartaal";"125960";"8585407";"3606994"
"Totaal luchthavens van nationaal belang";"2010 2e kwartaal";"120119";"8399529";"3703364"
"Totaal luchthavens van nationaal belang";"2011 2e kwartaal";"135315";"10346122";"3976828"
"Totaal luchthavens van nationaal belang";"2012 2e kwartaal";"134474";"10586457";"4088405"
"Totaal luchthavens van nationaal belang";"2013 2e kwartaal";"137162";"11283709";"4341083"
"Totaal luchthavens van nationaal belang";"2014 2e kwartaal";"140067";"11977582";"4358953"
"Totaal luchthavens van nationaal belang";"2015 2e kwartaal";"144689";"12874389";"4479920"
"Totaal luchthavens van nationaal belang";"2016 2e kwartaal";"150648";"13827765";"4620989"
"Totaal luchthavens van nationaal belang";"2017 2e kwartaal";"158002";"15292279";"5125927"
"Totaal luchthavens van nationaal belang";"2018 2e kwartaal";"159132";"15772540";"5453610"
"Totaal luchthavens van nationaal belang";"2019 2e kwartaal";"161074";"16250602";"5543740"
"Totaal luchthavens van nationaal belang";"2020 2e kwartaal";"27179";"612635";"267777"
"Totaal luchthavens van nationaal belang";"2021 2e kwartaal";"63740";"2848270";"1009607"
"Totaal luchthavens van nationaal belang";"2022 2e kwartaal";"141723";"13347966";"4001569"
"Totaal luchthavens van nationaal belang";"2023 2e kwartaal*";"144810";"14088723";"4878369"
"Totaal luchthavens van nationaal belang";"2024 2e kwartaal*";"151560";"15166500";"4922272"
"Amsterdam Airport Schiphol";"2000 2e kwartaal";"109668";"6957792";"3308439"
"Amsterdam Airport Schiphol";"2001 2e kwartaal";"110981";"7279629";"3375983"
"Amsterdam Airport Schiphol";"2002 2e kwartaal";"106754";"7533284";"3136739"
"Amsterdam Airport Schiphol";"2003 2e kwartaal";"102132";"7196063";"2755219"
"Amsterdam Airport Schiphol";"2004 2e kwartaal";"106659";"7773115";"3347202"
"Amsterdam Airport Schiphol";"2005 2e kwartaal";"109311";"7980396";"3568438"
"Amsterdam Airport Schiphol";"2006 2e kwartaal";"114095";"8516597";"3696821"
"Amsterdam Airport Schiphol";"2007 2e kwartaal";"117369";"8696683";"3751523"
"Amsterdam Airport Schiphol";"2008 2e kwartaal";"117626";"8740310";"3982265"
"Amsterdam Airport Schiphol";"2009 2e kwartaal";"105886";"7809139";"3606342"
"Amsterdam Airport Schiphol";"2010 2e kwartaal";"98614";"7504329";"3702559"
"Amsterdam Airport Schiphol";"2011 2e kwartaal";"113563";"9135579";"3976130"
"Amsterdam Airport Schiphol";"2012 2e kwartaal";"113972";"9268249";"4078173"
"Amsterdam Airport Schiphol";"2013 2e kwartaal";"115847";"9735021";"4317610"
"Amsterdam Airport Schiphol";"2014 2e kwartaal";"117921";"10245961";"4335269"
"Amsterdam Airport Schiphol";"2015 2e kwartaal";"121865";"11028547";"4443335"
"Amsterdam Airport Schiphol";"2016 2e kwartaal";"129198";"12121048";"4591270"
"Amsterdam Airport Schiphol";"2017 2e kwartaal";"134717";"13110483";"5079468"
"Amsterdam Airport Schiphol";"2018 2e kwartaal";"133568";"13417613";"5370631"
"Amsterdam Airport Schiphol";"2019 2e kwartaal";"133708";"13618279";"5429792"
"Amsterdam Airport Schiphol";"2020 2e kwartaal";"19727";"537478";"267774"
"Amsterdam Airport Schiphol";"2021 2e kwartaal";"51611";"2572182";"999475"
"Amsterdam Airport Schiphol";"2022 2e kwartaal";"114346";"10951299";"3932953"
"Amsterdam Airport Schiphol";"2023 2e kwartaal*";"119798";"11606435";"4786110"
"Amsterdam Airport Schiphol";"2024 2e kwartaal*";"126388";"12585039";"4819134"
"Rotterdam The Hague Airport";"2000 2e kwartaal";"12926";"205074";"1261"
"Rotterdam The Hague Airport";"2001 2e kwartaal";"10548";"213760";"1332"
"Rotterdam The Hague Airport";"2002 2e kwartaal";"10062";"174795";"768"
"Rotterdam The Hague Airport";"2003 2e kwartaal";"8921";"175212";"0"
"Rotterdam The Hague Airport";"2004 2e kwartaal";"9847";"323140";"20"
"Rotterdam The Hague Airport";"2005 2e kwartaal";"9764";"291233";"0"
"Rotterdam The Hague Airport";"2006 2e kwartaal";"9493";"295143";"0"
"Rotterdam The Hague Airport";"2007 2e kwartaal";"9413";"299185";"0"
"Rotterdam The Hague Airport";"2008 2e kwartaal";"9249";"275131";"89"
"Rotterdam The Hague Airport";"2009 2e kwartaal";"8293";"248756";"409"
"Rotterdam The Hague Airport";"2010 2e kwartaal";"8059";"239597";"0"
"Rotterdam The Hague Airport";"2011 2e kwartaal";"8196";"296137";"346"
"Rotterdam The Hague Airport";"2012 2e kwartaal";"7461";"320684";"1135"
"Rotterdam The Hague Airport";"2013 2e kwartaal";"8337";"426187";"525"
"Rotterdam The Hague Airport";"2014 2e kwartaal";"8296";"471297";"5824"
"Rotterdam The Hague Airport";"2015 2e kwartaal";"8689";"496832";"8388"
"Rotterdam The Hague Airport";"2016 2e kwartaal";"8302";"490931";"8246"
"Rotterdam The Hague Airport";"2017 2e kwartaal";"7864";"517859";"13222"
"Rotterdam The Hague Airport";"2018 2e kwartaal";"8785";"569374";"13723"
"Rotterdam The Hague Airport";"2019 2e kwartaal";"9033";"611900";"24748"
"Rotterdam The Hague Airport";"2020 2e kwartaal";"2662";"8105";"0"
"Rotterdam The Hague Airport";"2021 2e kwartaal";"4202";"44683";"5483"
"Rotterdam The Hague Airport";"2022 2e kwartaal";"9513";"561039";"27052"
"Rotterdam The Hague Airport";"2023 2e kwartaal*";"9512";"588505";"35176"
"Rotterdam The Hague Airport";"2024 2e kwartaal*";"8575";"591538";"41034"
"Eindhoven Airport";"2000 2e kwartaal";"5506";"96547";"0"
"Eindhoven Airport";"2001 2e kwartaal";"3639";"79369";"0"
"Eindhoven Airport";"2002 2e kwartaal";"3768";"110084";"0"
"Eindhoven Airport";"2003 2e kwartaal";"3412";"112213";"222"
"Eindhoven Airport";"2004 2e kwartaal";"3742";"189246";"0"
"Eindhoven Airport";"2005 2e kwartaal";"3952";"277709";"0"
"Eindhoven Airport";"2006 2e kwartaal";"3869";"316121";"46"
"Eindhoven Airport";"2007 2e kwartaal";"4276";"396862";"0"
"Eindhoven Airport";"2008 2e kwartaal";"4977";"457748";"122"
"Eindhoven Airport";"2009 2e kwartaal";"4060";"440789";"243"
"Eindhoven Airport";"2010 2e kwartaal";"4901";"557138";"0"
"Eindhoven Airport";"2011 2e kwartaal";"6457";"761578";"183"
"Eindhoven Airport";"2012 2e kwartaal";"6994";"841459";"9095"
"Eindhoven Airport";"2013 2e kwartaal";"7388";"936380";"22942"
"Eindhoven Airport";"2014 2e kwartaal";"8358";"1136412";"17839"
"Eindhoven Airport";"2015 2e kwartaal";"8623";"1230366";"28196"
"Eindhoven Airport";"2016 2e kwartaal";"7700";"1092167";"21464"
"Eindhoven Airport";"2017 2e kwartaal";"10020";"1546695";"33234"
"Eindhoven Airport";"2018 2e kwartaal";"10383";"1639500";"67281"
"Eindhoven Airport";"2019 2e kwartaal";"11653";"1835282";"84955"
"Eindhoven Airport";"2020 2e kwartaal";"1021";"66614";"0"
"Eindhoven Airport";"2021 2e kwartaal";"2679";"222563";"4648"
"Eindhoven Airport";"2022 2e kwartaal";"11263";"1754719";"41186"
"Eindhoven Airport";"2023 2e kwartaal*";"11414";"1846523";"56518"
"Eindhoven Airport";"2024 2e kwartaal*";"11445";"1894880";"61934"
"Maastricht Aachen Airport";"2000 2e kwartaal";"6808";"110815";"692"
"Maastricht Aachen Airport";"2001 2e kwartaal";"6350";"103631";"0"
"Maastricht Aachen Airport";"2002 2e kwartaal";"5310";"93118";"2591"
"Maastricht Aachen Airport";"2003 2e kwartaal";"3921";"77846";"2"
"Maastricht Aachen Airport";"2004 2e kwartaal";"3655";"72621";"0"
"Maastricht Aachen Airport";"2005 2e kwartaal";"3350";"98638";"689"
"Maastricht Aachen Airport";"2006 2e kwartaal";"4401";"83068";"711"
"Maastricht Aachen Airport";"2007 2e kwartaal";"3931";"31075";"1"
"Maastricht Aachen Airport";"2008 2e kwartaal";"4611";"67489";"10"
"Maastricht Aachen Airport";"2009 2e kwartaal";"3809";"44914";"0"
"Maastricht Aachen Airport";"2010 2e kwartaal";"4243";"58624";"805"
"Maastricht Aachen Airport";"2011 2e kwartaal";"3165";"116458";"169"
"Maastricht Aachen Airport";"2012 2e kwartaal";"2781";"101971";"2"
"Maastricht Aachen Airport";"2013 2e kwartaal";"2897";"131259";"6"
"Maastricht Aachen Airport";"2014 2e kwartaal";"2395";"72591";"21"
"Maastricht Aachen Airport";"2015 2e kwartaal";"2666";"64291";"1"
"Maastricht Aachen Airport";"2016 2e kwartaal";"2552";"79503";"9"
"Maastricht Aachen Airport";"2017 2e kwartaal";"2481";"55841";"3"
"Maastricht Aachen Airport";"2018 2e kwartaal";"2783";"81201";"1975"
"Maastricht Aachen Airport";"2019 2e kwartaal";"3239";"128434";"4132"
"Maastricht Aachen Airport";"2020 2e kwartaal";"1792";"391";"3"
"Maastricht Aachen Airport";"2021 2e kwartaal";"2443";"8148";"1"
"Maastricht Aachen Airport";"2022 2e kwartaal";"3269";"57753";"378"
"Maastricht Aachen Airport";"2023 2e kwartaal*";"762";"18997";"182"
"Maastricht Aachen Airport";"2024 2e kwartaal*";"2197";"66424";"170"
"Groningen Airport Eelde";"2000 2e kwartaal";"3769";"14194";"0"
"Groningen Airport Eelde";"2001 2e kwartaal";"3866";"27507";"0"
"Groningen Airport Eelde";"2002 2e kwartaal";"4194";"37972";"0"
"Groningen Airport Eelde";"2003 2e kwartaal";"3506";"39740";"0"
"Groningen Airport Eelde";"2004 2e kwartaal";"4292";"38002";"0"
"Groningen Airport Eelde";"2005 2e kwartaal";"4307";"43189";"0"
"Groningen Airport Eelde";"2006 2e kwartaal";"3769";"41847";"0"
"Groningen Airport Eelde";"2007 2e kwartaal";"4100";"42638";"0"
"Groningen Airport Eelde";"2008 2e kwartaal";"4186";"51329";"0"
"Groningen Airport Eelde";"2009 2e kwartaal";"3912";"41809";"0"
"Groningen Airport Eelde";"2010 2e kwartaal";"4302";"39841";"0"
"Groningen Airport Eelde";"2011 2e kwartaal";"3934";"36370";"0"
"Groningen Airport Eelde";"2012 2e kwartaal";"3266";"54094";"0"
"Groningen Airport Eelde";"2013 2e kwartaal";"2693";"54862";"0"
"Groningen Airport Eelde";"2014 2e kwartaal";"3097";"51321";"0"
"Groningen Airport Eelde";"2015 2e kwartaal";"2846";"54353";"0"
"Groningen Airport Eelde";"2016 2e kwartaal";"2896";"44116";"0"
"Groningen Airport Eelde";"2017 2e kwartaal";"2920";"61401";"0"
"Groningen Airport Eelde";"2018 2e kwartaal";"3613";"64852";"0"
"Groningen Airport Eelde";"2019 2e kwartaal";"3441";"56707";"113"
"Groningen Airport Eelde";"2020 2e kwartaal";"1977";"47";"0"
"Groningen Airport Eelde";"2021 2e kwartaal";"2805";"694";"0"
"Groningen Airport Eelde";"2022 2e kwartaal";"3332";"23156";"0"
"Groningen Airport Eelde";"2023 2e kwartaal*";"3324";"28263";"383"
"Groningen Airport Eelde";"2024 2e kwartaal*";"2955";"28619";"0"
"Bron: CBS"
